accident_date,minor_count,major_count,fatal_count,total_count
2026-08-05,1,0,0,1
2026-08-06,2,1,0,3
2026-08-07,2,5,0,7
2026-08-08,2,0,0,2
2026-08-09,4,1,0,5
2026-08-10,3,0,0,3
2026-08-11,2,0,0,2
2026-08-12,3,2,1,6
2026-08-13,3,0,0,3
2026-08-14,1,1,0,2
2026-08-15,0,0,0,0
2026-08-16,3,0,0,3
2026-08-17,2,0,1,3
2026-08-18,3,0,0,3
2026-08-19,3,0,0,3
2026-08-20,1,1,0,2
2026-08-21,6,0,0,6
2026-08-22,0,0,0,0
2026-08-23,1,0,1,2
2026-08-24,2,1,1,4
2026-08-25,4,2,0,6
2026-08-26,1,0,0,1
2026-08-27,2,1,0,3
2026-08-28,4,0,0,4
2026-08-29,4,2,0,6
2026-08-30,4,3,0,7
2026-08-31,0,2,0,2
2026-09-01,1,1,0,2
2026-09-02,3,0,1,4
2026-09-03,6,0,0,6
