usage_date,consumption_kwh
2026-06-01,319.93
2026-06-02,307.23
2026-06-03,322.95
2026-06-04,340.46
2026-06-05,305.32
2026-06-06,320.32
2026-06-07,356.58
2026-06-08,325.35
2026-06-09,300.61
2026-06-10,320.85
2026-06-11,300.73
2026-06-12,300.69
2026-06-13,329.84
2026-06-14,286.73
2026-06-15,275.5
2026-06-16,298.75
2026-06-17,289.74
2026-06-18,316.28
2026-06-19,291.84
2026-06-20,296.75
2026-06-21,354.31
2026-06-22,305.48
2026-06-23,311.35
2026-06-24,281.51
2026-06-25,299.11
2026-06-26,312.22
2026-06-27,301.98
2026-06-28,332.51
2026-06-29,297.99
2026-06-30,304.17
2026-07-01,297.97
2026-07-02,347.05
2026-07-03,309.73
2026-07-04,303.85
2026-07-05,341.45
2026-07-06,285.58
2026-07-07,314.18
2026-07-08,270.81
2026-07-09,283.44
2026-07-10,313.94
2026-07-11,339.77
2026-07-12,328.43
2026-07-13,307.69
2026-07-14,303.98
2026-07-15,280.43
2026-07-16,295.6
2026-07-17,300.79
2026-07-18,346.14
2026-07-19,331.87
2026-07-20,274.74
2026-07-21,316.48
2026-07-22,302.3
2026-07-23,296.46
2026-07-24,322.23
2026-07-25,345.62
2026-07-26,343.63
2026-07-27,293.22
2026-07-28,303.82
2026-07-29,316.63
2026-07-30,329.51
2026-07-31,300.42
2026-08-01,281.29
2026-08-02,262.87
2026-08-03,246.08
2026-08-04,286.25
2026-08-05,297.12
2026-08-06,268.56
2026-08-07,290.07
2026-08-08,292.23
2026-08-09,272.1
2026-08-10,277.23
2026-08-11,300.76
2026-08-12,269.28
2026-08-13,301.29
2026-08-14,217.61
2026-08-15,301.44
2026-08-16,286.74
2026-08-17,264.02
2026-08-18,271.84
2026-08-19,230.25
2026-08-20,265.61
2026-08-21,277.14
2026-08-22,314.56
2026-08-23,274.63
2026-08-24,253.83
2026-08-25,259.96
2026-08-26,288.31
2026-08-27,276.58
2026-08-28,259.4
2026-08-29,295.27
