recorded_at,vehicle_count,avg_speed_kmph,congestion_level
2026-08-05 00:00:00,119,55.0,Low
2026-08-05 01:00:00,125,58.0,Low
2026-08-05 02:00:00,90,55.9,Low
2026-08-05 03:00:00,163,55.0,Low
2026-08-05 04:00:00,81,57.8,Low
2026-08-05 05:00:00,81,55.8,Low
2026-08-05 06:00:00,409,39.8,Medium
2026-08-05 07:00:00,331,45.6,Low
2026-08-05 08:00:00,809,28.3,High
2026-08-05 09:00:00,813,24.7,High
2026-08-05 10:00:00,458,41.2,Medium
2026-08-05 11:00:00,402,41.1,Medium
2026-08-05 12:00:00,378,45.1,Medium
2026-08-05 13:00:00,353,46.6,Medium
2026-08-05 14:00:00,375,44.4,Medium
2026-08-05 15:00:00,375,48.7,Medium
2026-08-05 16:00:00,399,41.9,Medium
2026-08-05 17:00:00,932,20.3,High
2026-08-05 18:00:00,908,19.8,High
2026-08-05 19:00:00,846,26.6,High
2026-08-05 20:00:00,429,43.2,Medium
2026-08-05 21:00:00,395,43.6,Medium
2026-08-05 22:00:00,40,57.0,Low
2026-08-05 23:00:00,81,58.9,Low
2026-08-06 00:00:00,113,52.0,Low
2026-08-06 01:00:00,112,54.7,Low
2026-08-06 02:00:00,72,58.3,Low
2026-08-06 03:00:00,141,56.2,Low
2026-08-06 04:00:00,66,56.7,Low
2026-08-06 05:00:00,113,57.4,Low
2026-08-06 06:00:00,380,44.4,Medium
2026-08-06 07:00:00,355,43.4,Medium
2026-08-06 08:00:00,882,27.4,High
2026-08-06 09:00:00,847,28.1,High
2026-08-06 10:00:00,414,42.1,Medium
2026-08-06 11:00:00,414,46.5,Medium
2026-08-06 12:00:00,398,47.2,Medium
2026-08-06 13:00:00,295,49.8,Low
2026-08-06 14:00:00,403,43.3,Medium
2026-08-06 15:00:00,403,39.9,Medium
2026-08-06 16:00:00,391,45.1,Medium
2026-08-06 17:00:00,959,20.6,High
2026-08-06 18:00:00,867,24.3,High
2026-08-06 19:00:00,936,23.2,High
2026-08-06 20:00:00,378,45.9,Medium
2026-08-06 21:00:00,403,45.8,Medium
2026-08-06 22:00:00,71,56.5,Low
2026-08-06 23:00:00,84,53.7,Low
2026-08-07 00:00:00,111,56.1,Low
2026-08-07 01:00:00,100,55.5,Low
2026-08-07 02:00:00,43,57.4,Low
2026-08-07 03:00:00,86,55.0,Low
2026-08-07 04:00:00,93,57.1,Low
2026-08-07 05:00:00,175,53.3,Low
2026-08-07 06:00:00,410,43.5,Medium
2026-08-07 07:00:00,323,47.0,Low
2026-08-07 08:00:00,852,30.8,High
2026-08-07 09:00:00,842,26.9,High
2026-08-07 10:00:00,398,41.7,Medium
2026-08-07 11:00:00,445,43.7,Medium
2026-08-07 12:00:00,431,40.9,Medium
2026-08-07 13:00:00,456,39.0,Medium
2026-08-07 14:00:00,423,47.5,Medium
2026-08-07 15:00:00,360,44.5,Medium
2026-08-07 16:00:00,403,42.9,Medium
2026-08-07 17:00:00,837,26.7,High
2026-08-07 18:00:00,857,26.7,High
2026-08-07 19:00:00,863,28.6,High
2026-08-07 20:00:00,368,44.6,Medium
2026-08-07 21:00:00,432,40.3,Medium
2026-08-07 22:00:00,109,58.3,Low
2026-08-07 23:00:00,35,59.0,Low
2026-08-08 00:00:00,70,58.8,Low
2026-08-08 01:00:00,20,56.6,Low
2026-08-08 02:00:00,80,57.4,Low
2026-08-08 03:00:00,70,57.9,Low
2026-08-08 04:00:00,32,59.2,Low
2026-08-08 05:00:00,71,55.7,Low
2026-08-08 06:00:00,314,48.4,Low
2026-08-08 07:00:00,192,53.6,Low
2026-08-08 08:00:00,471,42.7,Medium
2026-08-08 09:00:00,556,36.1,Medium
2026-08-08 10:00:00,278,49.7,Low
2026-08-08 11:00:00,272,52.9,Low
2026-08-08 12:00:00,230,49.3,Low
2026-08-08 13:00:00,204,50.2,Low
2026-08-08 14:00:00,236,51.2,Low
2026-08-08 15:00:00,251,51.6,Low
2026-08-08 16:00:00,240,53.3,Low
2026-08-08 17:00:00,529,44.3,Medium
2026-08-08 18:00:00,565,35.7,Medium
2026-08-08 19:00:00,497,41.1,Medium
2026-08-08 20:00:00,231,52.2,Low
2026-08-08 21:00:00,258,49.5,Low
2026-08-08 22:00:00,26,55.9,Low
2026-08-08 23:00:00,42,60.0,Low
2026-08-09 00:00:00,68,54.8,Low
2026-08-09 01:00:00,66,58.1,Low
2026-08-09 02:00:00,24,59.3,Low
2026-08-09 03:00:00,62,55.2,Low
2026-08-09 04:00:00,74,58.2,Low
2026-08-09 05:00:00,103,58.0,Low
2026-08-09 06:00:00,184,50.8,Low
2026-08-09 07:00:00,260,50.6,Low
2026-08-09 08:00:00,530,46.5,Medium
2026-08-09 09:00:00,532,41.0,Medium
2026-08-09 10:00:00,278,50.2,Low
2026-08-09 11:00:00,227,52.4,Low
2026-08-09 12:00:00,209,51.2,Low
2026-08-09 13:00:00,220,51.4,Low
2026-08-09 14:00:00,332,43.0,Low
2026-08-09 15:00:00,267,46.1,Low
2026-08-09 16:00:00,221,53.3,Low
2026-08-09 17:00:00,542,36.2,Medium
2026-08-09 18:00:00,511,40.9,Medium
2026-08-09 19:00:00,510,40.0,Medium
2026-08-09 20:00:00,241,49.1,Low
2026-08-09 21:00:00,325,48.3,Low
2026-08-09 22:00:00,20,59.6,Low
2026-08-09 23:00:00,33,60.4,Low
2026-08-10 00:00:00,68,57.1,Low
2026-08-10 01:00:00,120,56.9,Low
2026-08-10 02:00:00,51,57.3,Low
2026-08-10 03:00:00,81,55.5,Low
2026-08-10 04:00:00,170,54.0,Low
2026-08-10 05:00:00,49,59.9,Low
2026-08-10 06:00:00,484,42.7,Medium
2026-08-10 07:00:00,339,45.5,Low
2026-08-10 08:00:00,900,22.6,High
2026-08-10 09:00:00,867,26.9,High
2026-08-10 10:00:00,362,45.4,Medium
2026-08-10 11:00:00,270,47.2,Low
2026-08-10 12:00:00,389,41.9,Medium
2026-08-10 13:00:00,465,38.5,Medium
2026-08-10 14:00:00,382,45.0,Medium
2026-08-10 15:00:00,457,38.8,Medium
2026-08-10 16:00:00,446,42.2,Medium
2026-08-10 17:00:00,860,26.5,High
2026-08-10 18:00:00,907,22.5,High
2026-08-10 19:00:00,902,23.1,High
2026-08-10 20:00:00,404,45.2,Medium
2026-08-10 21:00:00,463,39.0,Medium
2026-08-10 22:00:00,185,48.7,Low
2026-08-10 23:00:00,93,57.5,Low
2026-08-11 00:00:00,111,54.3,Low
2026-08-11 01:00:00,91,55.4,Low
2026-08-11 02:00:00,76,58.7,Low
2026-08-11 03:00:00,114,54.1,Low
2026-08-11 04:00:00,135,55.2,Low
2026-08-11 05:00:00,132,56.0,Low
2026-08-11 06:00:00,366,44.2,Medium
2026-08-11 07:00:00,429,44.1,Medium
2026-08-11 08:00:00,849,26.3,High
2026-08-11 09:00:00,901,22.8,High
2026-08-11 10:00:00,421,42.8,Medium
2026-08-11 11:00:00,391,46.6,Medium
2026-08-11 12:00:00,433,44.3,Medium
2026-08-11 13:00:00,452,42.0,Medium
2026-08-11 14:00:00,427,42.3,Medium
2026-08-11 15:00:00,412,43.3,Medium
2026-08-11 16:00:00,403,45.1,Medium
2026-08-11 17:00:00,867,29.5,High
2026-08-11 18:00:00,859,23.2,High
2026-08-11 19:00:00,946,23.7,High
2026-08-11 20:00:00,424,44.3,Medium
2026-08-11 21:00:00,399,42.2,Medium
2026-08-11 22:00:00,103,54.5,Low
2026-08-11 23:00:00,139,54.1,Low
2026-08-12 00:00:00,66,56.7,Low
2026-08-12 01:00:00,116,54.2,Low
2026-08-12 02:00:00,67,57.8,Low
2026-08-12 03:00:00,109,54.6,Low
2026-08-12 04:00:00,81,57.2,Low
2026-08-12 05:00:00,42,55.5,Low
2026-08-12 06:00:00,371,44.7,Medium
2026-08-12 07:00:00,412,46.5,Medium
2026-08-12 08:00:00,884,24.3,High
2026-08-12 09:00:00,849,24.0,High
2026-08-12 10:00:00,399,43.5,Medium
2026-08-12 11:00:00,412,41.9,Medium
2026-08-12 12:00:00,420,46.3,Medium
2026-08-12 13:00:00,395,45.0,Medium
2026-08-12 14:00:00,427,42.1,Medium
2026-08-12 15:00:00,408,43.7,Medium
2026-08-12 16:00:00,403,42.3,Medium
2026-08-12 17:00:00,900,25.0,High
2026-08-12 18:00:00,958,23.6,High
2026-08-12 19:00:00,986,19.0,High
2026-08-12 20:00:00,434,43.0,Medium
2026-08-12 21:00:00,487,38.9,Medium
